Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
55,Entry long,2025-10-03 00:49,Long,120200.03,0.008319,999.9440496,-4.05,-0.40,0,0.00,-2.09,-0.21,-186.77,-1.87
56,Exit long,2025-10-03 01:19,Close entry(s) order Long,120120.93,0.008318,999.954359,-4.79,-0.48,0,0.00,-3.45,-0.34,-191.56,-1.92
56,Entry long,2025-10-03 01:12,Long,120215.72,0.008318,999.954359,-4.79,-0.48,0,0.00,-3.45,-0.34,-191.56,-1.92
57,Exit long,2025-10-03 01:44,Close entry(s) order Long,120099.41,0.008324,999.9655328,-4.26,-0.42,0,0.00,-2.26,-0.23,-195.81,-1.96
57,Entry long,2025-10-03 01:42,Long,120130.41,0.008324,999.9655328,-4.26,-0.42,0,0.00,-2.26,-0.23,-195.81,-1.96
58,Exit long,2025-10-03 02:27,Close entry(s) order Long,120040.02,0.008325,999.9822668,-4.65,-0.46,0,0.00,-2.86,-0.29,-200.46,-2.00
58,Entry long,2025-10-03 02:10,Long,120117.99,0.008325,999.9822668,-4.65,-0.46,0,0.00,-2.86,-0.29,-200.46,-2.00
59,Exit long,2025-10-03 03:28,Close entry(s) order Long,120201.64,0.008326,999.8843268,-3.09,-0.31,1.11,0.11,-2.57,-0.26,-203.55,-2.04
59,Entry long,2025-10-03 02:42,Long,120091.8,0.008326,999.8843268,-3.09,-0.31,1.11,0.11,-2.57,-0.26,-203.55,-2.04
60,Exit long,2025-10-03 03:55,Close entry(s) order Long,120227.84,0.00831,999.9944868,-4.9,-0.49,0,0.00,-2.9,-0.29,-208.45,-2.08
60,Entry long,2025-10-03 03:37,Long,120336.28,0.00831,999.9944868,-4.9,-0.49,0,0.00,-2.9,-0.29,-208.45,-2.08
61,Exit long,2025-10-03 06:03,Close entry(s) order Long,119809.45,0.008341,999.9967347,-4.66,-0.47,0,0.00,-2.88,-0.29,-213.11,-2.13
61,Entry long,2025-10-03 06:00,Long,119889.31,0.008341,999.9967347,-4.66,-0.47,0,0.00,-2.88,-0.29,-213.11,-2.13
62,Exit long,2025-10-03 06:42,Close entry(s) order Long,119903.62,0.008339,999.9983701,-4.12,-0.41,0,0.00,-2.16,-0.22,-217.23,-2.17
62,Entry long,2025-10-03 06:05,Long,119918.26,0.008339,999.9983701,-4.12,-0.41,0,0.00,-2.16,-0.22,-217.23,-2.17
63,Exit long,2025-10-03 07:08,Close entry(s) order Long,119789.73,0.008333,999.9160018,-5.7,-0.57,0,0.00,-3.77,-0.38,-222.94,-2.23
63,Entry long,2025-10-03 07:01,Long,119994.72,0.008333,999.9160018,-5.7,-0.57,0,0.00,-3.77,-0.38,-222.94,-2.23
64,Exit long,2025-10-03 07:19,Close entry(s) order Long,119857.38,0.00834,999.8916072,-4.28,-0.43,0,0.00,-2.28,-0.23,-227.22,-2.27
64,Entry long,2025-10-03 07:18,Long,119891.08,0.00834,999.8916072,-4.28,-0.43,0,0.00,-2.28,-0.23,-227.22,-2.27
65,Exit long,2025-10-03 11:05,Close entry(s) order Long,120440.37,0.008359,999.9381027,2.81,0.28,5.85,0.58,-2.11,-0.21,-224.41,-2.24
65,Entry long,2025-10-03 08:29,Long,119624.13,0.008359,999.9381027,2.81,0.28,5.85,0.58,-2.11,-0.21,-224.41,-2.24
66,Exit long,2025-10-03 12:06,Close entry(s) order Long,120364.1,0.008306,999.9170625,-4.17,-0.42,0,0.00,-2.4,-0.24,-228.58,-2.29
66,Entry long,2025-10-03 11:42,Long,120384.91,0.008306,999.9170625,-4.17,-0.42,0,0.00,-2.4,-0.24,-228.58,-2.29
67,Exit long,2025-10-03 12:20,Close entry(s) order Long,120343.56,0.008304,999.9617842,-4.63,-0.46,0,0.00,-2.76,-0.28,-233.21,-2.33
67,Entry long,2025-10-03 12:15,Long,120419.29,0.008304,999.9617842,-4.63,-0.46,0,0.00,-2.76,-0.28,-233.21,-2.33
68,Exit long,2025-10-03 13:04,Close entry(s) order Long,120290.13,0.008311,999.9888283,-4.26,-0.42,0,0.00,-2.42,-0.24,-237.47,-2.37
68,Entry long,2025-10-03 12:46,Long,120321.12,0.008311,999.9888283,-4.26,-0.42,0,0.00,-2.42,-0.24,-237.47,-2.37
69,Exit long,2025-10-03 13:41,Close entry(s) order Long,120314.77,0.008303,999.9196622,-4.94,-0.49,0.77,0.08,-3.37,-0.34,-242.41,-2.42
69,Entry long,2025-10-03 13:17,Long,120428.72,0.008303,999.9196622,-4.94,-0.49,0.77,0.08,-3.37,-0.34,-242.41,-2.42
70,Exit long,2025-10-03 14:01,Close entry(s) order Long,120258.13,0.008295,999.9175399,-6.37,-0.64,0,0.00,-4.77,-0.48,-248.78,-2.49
70,Entry long,2025-10-03 13:49,Long,120544.61,0.008295,999.9175399,-6.37,-0.64,0,0.00,-4.77,-0.48,-248.78,-2.49
71,Exit long,2025-10-03 15:11,Close entry(s) order Long,120751.34,0.008303,999.8796417,-1.29,-0.13,3.26,0.33,-2.29,-0.23,-250.07,-2.50
71,Entry long,2025-10-03 14:27,Long,120423.9,0.008303,999.8796417,-1.29,-0.13,3.26,0.33,-2.29,-0.23,-250.07,-2.50
72,Exit long,2025-10-03 16:49,Close entry(s) order Long,122965.35,0.00827,999.9717639,12.92,1.29,21.03,2.10,-2.15,-0.21,-237.15,-2.37
72,Entry long,2025-10-03 15:14,Long,120915.57,0.00827,999.9717639,12.92,1.29,21.03,2.10,-2.15,-0.21,-237.15,-2.37
73,Exit long,2025-10-03 17:19,Close entry(s) order Long,122047.17,0.008151,999.9494376,-9.13,-0.91,0,0.00,-7.37,-0.74,-246.28,-2.46
73,Entry long,2025-10-03 17:14,Long,122678.13,0.008151,999.9494376,-9.13,-0.91,0,0.00,-7.37,-0.74,-246.28,-2.46
74,Exit long,2025-10-03 17:46,Close entry(s) order Long,122061.87,0.008168,999.9486136,-6.94,-0.69,0,0.00,-5.19,-0.52,-253.22,-2.53
74,Entry long,2025-10-03 17:36,Long,122422.7,0.008168,999.9486136,-6.94,-0.69,0,0.00,-5.19,-0.52,-253.22,-2.53
75,Exit long,2025-10-03 18:55,Close entry(s) order Long,122077.91,0.008211,999.9809868,-1.6,-0.16,3.03,0.30,-2.56,-0.26,-254.83,-2.55
75,Entry long,2025-10-03 18:19,Long,121785.53,0.008211,999.9809868,-1.6,-0.16,3.03,0.30,-2.56,-0.26,-254.83,-2.55
76,Exit long,2025-10-03 19:02,Close entry(s) order Long,122046.18,0.008186,999.973682,-4.9,-0.49,0,0.00,-3.02,-0.30,-259.73,-2.60
76,Entry long,2025-10-03 19:00,Long,122156.57,0.008186,999.973682,-4.9,-0.49,0,0.00,-3.02,-0.30,-259.73,-2.60
77,Exit long,2025-10-03 20:02,Close entry(s) order Long,122228.31,0.008182,999.9232018,-3.85,-0.38,1.82,0.18,-3.25,-0.32,-263.58,-2.64
77,Entry long,2025-10-03 19:10,Long,122210.12,0.008182,999.9232018,-3.85,-0.38,1.82,0.18,-3.25,-0.32,-263.58,-2.64
78,Exit long,2025-10-03 21:01,Close entry(s) order Long,122246.15,0.008184,999.9143273,-3.45,-0.34,1.26,0.13,-2.08,-0.21,-267.03,-2.67
78,Entry long,2025-10-03 20:34,Long,122179.17,0.008184,999.9143273,-3.45,-0.34,1.26,0.13,-2.08,-0.21,-267.03,-2.67
79,Exit long,2025-10-03 22:54,Close entry(s) order Long,122312.03,0.008182,999.8832737,-3.13,-0.31,0.5,0.05,-2.96,-0.30,-270.16,-2.70
79,Entry long,2025-10-03 21:56,Long,122205.24,0.008182,999.8832737,-3.13,-0.31,0.5,0.05,-2.96,-0.30,-270.16,-2.70
80,Exit long,2025-10-03 23:45,Close entry(s) order Long,122102.12,0.008184,999.8946857,-4.61,-0.46,0,0.00,-2.68,-0.27,-274.77,-2.75
80,Entry long,2025-10-03 23:43,Long,122176.77,0.008184,999.8946857,-4.61,-0.46,0,0.00,-2.68,-0.27,-274.77,-2.75
81,Exit long,2025-10-04 00:28,Close entry(s) order Long,122042.04,0.00819,999.8949051,-4.37,-0.44,0,0.00,-2.46,-0.25,-279.14,-2.79
81,Entry long,2025-10-04 00:20,Long,122087.29,0.00819,999.8949051,-4.37,-0.44,0,0.00,-2.46,-0.25,-279.14,-2.79
82,Exit long,2025-10-04 01:05,Close entry(s) order Long,121912.67,0.008199,999.9937407,-4.43,-0.44,0,0.00,-2.47,-0.25,-283.57,-2.84
82,Entry long,2025-10-04 01:00,Long,121965.33,0.008199,999.9937407,-4.43,-0.44,0,0.00,-2.47,-0.25,-283.57,-2.84
83,Exit long,2025-10-04 01:13,Close entry(s) order Long,121917.38,0.008197,999.9755554,-4.62,-0.46,0,0.00,-2.81,-0.28,-288.19,-2.88
83,Entry long,2025-10-04 01:08,Long,121992.87,0.008197,999.9755554,-4.62,-0.46,0,0.00,-2.81,-0.28,-288.19,-2.88
84,Exit long,2025-10-04 01:17,Close entry(s) order Long,121907.95,0.008198,999.942934,-4.54,-0.45,0,0.00,-2.54,-0.25,-292.73,-2.93
84,Entry long,2025-10-04 01:14,Long,121974.01,0.008198,999.942934,-4.54,-0.45,0,0.00,-2.54,-0.25,-292.73,-2.93
85,Exit long,2025-10-04 02:18,Close entry(s) order Long,121657.83,0.008202,999.8844128,-6.04,-0.60,0,0.00,-4.28,-0.43,-298.77,-2.99
85,Entry long,2025-10-04 02:03,Long,121907.39,0.008202,999.8844128,-6.04,-0.60,0,0.00,-4.28,-0.43,-298.77,-2.99
86,Exit long,2025-10-04 05:41,Close entry(s) order Long,122493.12,0.008212,999.9885434,1.91,0.19,5.68,0.57,-2.18,-0.22,-296.86,-2.97
86,Entry long,2025-10-04 02:50,Long,121771.62,0.008212,999.9885434,1.91,0.19,5.68,0.57,-2.18,-0.22,-296.86,-2.97
87,Exit long,2025-10-04 06:37,Close entry(s) order Long,122384.57,0.008167,999.9046758,-4.39,-0.44,0,0.00,-2.71,-0.27,-301.24,-3.01
87,Entry long,2025-10-04 06:20,Long,122432.31,0.008167,999.9046758,-4.39,-0.44,0,0.00,-2.71,-0.27,-301.24,-3.01
